2023_05_22	1.3708e-06	0.0047211	2.618762
2023_05_24	1.4048e-06	0.0046462	2.635588
2023_05_29	1.4118e-06	0.0046791	2.8045
2023_06_02	1.3817e-06	0.0047957	2.767861
2023_06_23	1.3795e-06	0.0047932	2.763809
2023_06_26	1.3798e-06	0.0047995	2.767001
2023_06_27	1.3795e-06	0.0047953	2.764491
2023_06_30	1.3781e-06	0.0047921	2.761499
2023_07_03	1.3764e-06	0.0047984	2.762071
2023_07_04	1.3774e-06	0.0047957	2.760005
2023_07_06	1.3771e-06	0.0047783	2.730093
2023_07_07	1.3793e-06	0.0047763	2.731614
2023_07_10	1.3782e-06	0.004779	2.730924
2023_07_11	1.3786e-06	0.00478	2.734101
2023_07_12	1.2731e-06	0.0063719	5.709999
2023_07_13	1.2231e-06	0.0068774	6.742946
2023_07_17	1.226e-06	0.0068746	6.743347
2023_07_18	1.224e-06	0.0068749	6.742896
2023_07_19	1.227e-06	0.0068725	6.745098
2023_07_20	1.2204e-06	0.0068884	6.740971
2023_07_21	1.2167e-06	0.0068844	6.726047
2023_07_25	1.2232e-06	0.0068678	6.733289
2023_07_28	1.2265e-06	0.0068637	6.73894
